tool_id,description
5137.0,LINER is Asia’s first AI Agent that helps users accomplish more with less time and effort.
4717.0,"Effortlessly move data across all your websites or web apps, so you can get your time back."
4323.0,"GitBook is creating a modern and simple solution to documentation, digital writing, and publishing."
6183.0,Glimmer uses AI technology to generate visually stunning presentations based on a user's text and voice request
4080.0,katch is an anti-calendar product that gives users more time to do whatever is important at the time.
5205.0,Go Links is a software development company that transforms long URLs into readable links.
6693.0,Goodmeetings operates as an online video and AI enabled platform.
6302.0,The numbers tool for a new generation.
576.0,All-in-one project management tool
570.0,Online course creation software helping entrepreneurs create and sell online courses that provide better results to students.
3504.0,"SaaS, Mobile App, Web App"
8496.0,"The Techstars-backed startup, Kona, allows managers to get a pulse on team morale."
7189.0,Hints AI assistant for sales captures data from virtual and in-person meetings via voice and text and streamlines CRM adoption
7512.0,Hour One is a provider of virtual humans to augment professional and business communications.
6978.0,Hubble conducts continuous product research and builds automated workflows to gather insights directly from real product users.
2967.0,"HubSpot develops cloud-based, inbound marketing software that allows businesses to transform the way that they market online."
8118.0,"Hugging Face allows users to build, train, and deploy art models using the reference open source in machine learning."
4240.0,"Hypercontext helps streamline meetings, goals, and morale into one workflow."
8772.0,"Icons, illustrations, animations, and photos for UI/UX design. Free AI-powered graphic design software. AI tools and plugins for designers"
5620.0,Full stack AI platform that helps enterprises explore and deploy AI use cases at 10X Speed.
802.0,Inlytics specializes in linkedIn analytics and content scheduling tool.
7287.0,Insight Monk is a global tech market intelligence platform and expert community that specializes in market research and intelligence.
5351.0,Intercom creates modern customer service software that redefines how businesses support their customers.
6236.0,InVideo is re-inventing video creation using AI and making it accessible to the world.
3406.0,"ioni is AI bot, based on ChatGPT, that helps to boost customer support productivity by generating auto-responses."
6252.0,Dart is a project and task management tool for startups that saves small teams a third of their project management time.
3276.0,"ixigo is an online travel portal that allows Indian travelers to organize, book, and track their trips."
3129.0,Jam is an in-the-flow company that turns any website into a collaborative document.
7674.0,Jasper is an AI writing tool that helps businesses create content.
4172.0,June is a product analytics for subscription businesses.
8209.0,Klu contributes to a revolution in online information sharing and discovery.
8456.0,Kodezi is an AI-assisted developer tool focusing on maximizing programming productivity. Their initial product automatically corrects code.
2293.0,A new AI model that trained to understand and code UI designs like humans
7085.0,Kraftful provides business owners with an AI analysis of customer feedback to learn what they need and how to improve the product.
3551.0,All-in-one AI Superapp
8833.0,Krisp’s mission is to maximize the productivity of every digital voice conversation and help businesses achieve better business outcomes.
1002.0,Kula is a recruitment automation platform built to enable hyper-growth companies to build massive talent pipelines on autopilot.
5941.0,Landbot.io is a no-code chatbot platform that empowers businesses to build frictionless conversational experiences from end-to-end.
7373.0,LeadIQ is a prospecting platform that makes lead management and sales prospecting simple.
4835.0,"Make better product decisions, driven by data and AI"
8851.0,Let's Enhance is a deep-tech company that builds next-gen AI photo management solution for marketplaces.
8154.0,LETTRIA is one of the most advanced Natural Language Processing players in the French-speaking market.
8097.0,Lex is a modern writing tool that helps people think through their ideas and communicate more effectively.
8747.0,Linguix is an AI-based writing assistant that eliminates spelling issues in English texts anywhere on the web.
3727.0,AI powered flashcard platform for students and teachers
6985.0,LiveReacting is an application that offers graphics and interactive elements to live videos and streaming on social media networks.
8822.0,Lobe offers a platform that genuinely seems to have made AI models as simple to put together as LEGO bricks.
2188.0,Loom is a work communication tool that enables its users to get a message across instantly shareable videos.
5519.0,Loopin HQ is a calendar-based productivity platform that saves meeting notes and shares them seamlessly with communication tools.
368.0,"Maekersuite is a video platform that predicts what works based on trends, to create amazing, original content 10X better."
8226.0,Magic Studio is a technology company that provides AI-driven photo editing tools.
218.0,Mailmodo is an interactive email marketing software.
8071.0,AI Review Reply Assistant & Customer Review Analytics
6593.0,MetaBrix is a platform for generating AI-based avatars.
2801.0,"World-class software engineers, powered by AI"
7479.0,Midjourney is a non-profit research lab that is investigating new thought mediums to improve the human species' inventive abilities.
8762.0,MindsDB is an open-source platform that enables developers to integrate machine learning into applications.
7465.0,Create mini-courses super fast with AI and great practicality.
552.0,"Miro is a visual collaboration platform that provides an intuitive, engaging, and in-person collaboration experience for every team."
5511.0,Narrato is an AI content creation and collaboration platform.
6716.0,Nightfall is a cloud data protection platform that uses machine learning to identify and detect business-critical data.
6884.0,Notably offers a qualitative research intelligence platform for building a SaaS product & offering qualitative research.
8540.0,AI Workplace assistant getting work done
8265.0,Nureply is an email marketing tool that allows you to create personalised email campaigns.
5354.0,Olvy is a provider of cloud-based feedback analytics software.
8794.0,OpenAI is an AI research and deployment company that conducts research and implements machine learning.
4750.0,Opera Software is a software company that provides a web browser for mobile and desktop operating systems.
6819.0,Opus Clip is a software company that provides generative AI video editing tools.
5065.0,World’s 1st chatGPT-like Sales-Enabling chatbot Build & deploy your conversational AI chatbot in 2 minutes
5880.0,"Oscar generates personal bedtime stories and lets your child become the hero, making bedtime a magical experience for the whole family!"
5946.0,"Outerbase is an interface to view, edit, and modify data and generate visual dashboards without having to write a single line of SQL."
8508.0,Venture Capital data provider
4968.0,Permar AI is an AI-based performance marketing software that creates conversion rate-optimized landing pages.
8437.0,Personal AI is an AI messaging application for augmenting human connection and memory recall.
7708.0,PhotoRoom is an AI-enabled image capturing app that lets users create studio-quality product pictures in seconds.
7969.0,PicSo is an AI-powered digital art generator that creates artistically styled images from input text.
7151.0,Pixelied is an online graphic design and photo editing tool for entrepreneurs and small business owners.
1730.0,Improving and automating the educational process made easy with the help of an advanced plagiarism checker.
1655.0,"Platoria empowers individuals with AI-driven insights and personalized recommendations, revolutionizing the way they shop."
3108.0,Playbook develops a visual cloud storage platform to streamline and maintain control of creative assets.
7650.0,Playground AI allows users to create any image from their imagination using AI.
2778.0,"Plus is a software company that captures, views, and shares current data from any source."
7799.0,Poised is an AI-powered communication coach.
8160.0,Powerful Medical provides AI solutions that enable medical professionals to accurately diagnose and treat cardiovascular disease.
2968.0,"UX Automated. Forget prototyping. Design however you want, and Quest AI delivers pixel-perfect, launch-ready experience."
6900.0,Create video presentations quickly with AI assistance
7486.0,"Quickly convert any text, document, or URL into an online test with ease"
3114.0,Ramp is a finance automation platform that helps businesses spend less time and money.
5980.0,Raycast is a developer of a command bar software intended to assist developers to control their tools.
6885.0,Books worth reading twice
4807.0,"Saas, Edtech, Artificial Intelligence"
3270.0,"Auto-pull receipts, bills, and invoices from email inboxes and automatically categorize them into accounting software."
2189.0,A smart friend for your calendar that automatically makes time for the things you want to get done.
3642.0,Recraft is a creative AI tool.
5814.0,Build and deploy LLM chains and agents to automate more internal workflows
8713.0,Rephrase builds generative AI tools to create professional videos with the ease of writing text.
7616.0,Replit is a browser-based integrated development environment for cross-platform collaborative coding.
7418.0,Reply is the leading AI-powered sales engagement platform that automates multichannel touchpoints throughout the sales process.
6691.0,Resonate is a Marketing Agency and HubSpot Diamon Partner.
2268.0,AI-managed restaurant delivery storefronts
8665.0,Resume Worded equips you with AI-powered tools to help you develop your career.
7386.0,"Rewind is a personalized AI powered by everything you’ve seen, said, or heard."
2419.0,Think of Ribbo.ai as an AI-powered customer service agent for your business
6342.0,RIZZ which provides an AI-powered smart device keyboard.
5456.0,"RoboResponseAI is a chatbot with a human-like response to improve customer engagement and retention, powered by OpenAI’s GPT technology."
1758.0,Rows is a web application that offers spreadsheet solutions that connect online services and APIs.
3874.0,Salesforge is an all-in-one sales execution super app that gives every sales team the highest probability to hit their target.
2468.0,Your second brain for digital information
8368.0,AI that powers your entire content lifecycle
6478.0,Automated migrations and upgrades for every codebase
7083.0,SellScale is a sales and marketing software that uses artificial intelligence to generate better marketing emails.
8598.0,Sembly AI is a SaaS platform that uses AI algorithms to transcribe and analyze meetings and transform them into actionable insights.
5691.0,Sendspark is the video platform for record and requesting customer videos.
6214.0,"SEO Vendor is a technology leader in white label SEO, PPC and website development services."
5571.0,Shop is a technology company that offers a shopping site for customers with real-time tracking of the delivery and orders.
5493.0,The Worlds First Spiritual AI and Metaphysical LLM for Adepts and Holisitc Practictioners
7820.0,"Graphic design at the speed of thought! Sivi instantly turns text content into visuals for your ads, social posts, product banners, & more."
6118.0,"Slite is a writing tool for teams, bringing clarity to their work and helping them stay in tune anytime, any place."
1422.0,Snovio automates your email outreach from finding leads to building email campaigns.
8420.0,"Ai-powered tool to improve your social media presence and maximize results. Publish, Analyze, and Automate - all from within SocialBu"
5173.0,Sonara is an online platform that helps the job seeker to find suitable jobs in the hiring market.
3381.0,SpeechFlow is an API tool for accurate and fast speech-to-text transcription in 13 languages beyond just English.
363.0,The best ad creation and optimization tool using AI.
8025.0,Text-to-video platform with digital avatars.
4639.0,"A 3d design tool for the web, without coding."
3470.0,"Spoke.ai cuts through workplace noise with powerful, privacy-first AI that prioritizes and summarizes across tools"
8484.0,Spot is the virtual hub for the organization– bringing the spirit and utility of being in the same physical office to a digital experience.
531.0,Sprig is an online app that provides healthy organic meals delivered in 15 minutes.
6706.0,Ssemble is a collaborative online video editor
2277.0,Stellar is a productivity platform that uses a modified version of OKRs to automate the user's planning processes.
2600.0,"Steppit is an open platform for easily creating, selling and running step-by-step online courses, with the help of AI."
3199.0,Branded Marketing Content Creation - Automated Through AI
6233.0,ChatGPT for Teams. Collaboration workspace for Human Teams aided by AutoGPT & AgentGPT AI Professionals
8128.0,StoryFile is an information technology company that develops storytelling application to distribute stories and voices globally.
7263.0,Storywizard reimagines the way children learn by harnessing the power of AI to create personalized and engaging educational experiences.
6777.0,STUDIO is a web design & development platform that enables users to build websites from scratch without coding.
3337.0,Superhuman is a software platform that weaves social insights into a workflow.
6802.0,Synthesia offers an AI-powered video synthesis platform that enables businesses to generate personalized videos from plain text.
6381.0,Professional AI Voiceover and AI Video Generator
5763.0,Tailwind's mission is to make world-class marketing easy for everyone.
428.0,"SaaS, Transcription, AI"
125.0,"Tavrn is an invite-only app that connects and collaborates creators, singers, actors, and professionals in the creative industry."
4344.0,Use your data to answer customer questions. Automate tender processes and RFPs. Answer bids in 90% less time.
8518.0,Generative AI in every text box there is.
1559.0,"Smart inbox, smart emails - AI at your service"
7652.0,AI-native platform for human communication. Translate thoughts into perfect writing in any format or language. Share anywhere in one-tap.
5675.0,The largest aggregator of AI tools and use cases.
3335.0,Tidio is a live-chat app powered by unique chatbot solutions.
8566.0,Conversational Automation Made Easy
5297.0,Timely is an AI-powered automatic time tracking and planning tool.
6054.0,Tonkean provides an enterprise no-code process orchestration platform.
6818.0,Translate.video translates videos to 75+ languages using Artificial Intelligence with just 1-click.
8049.0,Trellus is a call coach for SDRs who works in real time.
387.0,Bento is a cross-functional collaboration tool that empowers b2b SaaS companies to give customers great in-product onboarding.
8289.0,Augmented AI for customer support agents
7845.0,Type is an AI-powered document editor that helps people to write remarkably fast.
6774.0,"Create, collaborate and consume Research in an easy way!"
7604.0,"Uizard is a rapid, AI-powered UI design tool used for designing wireframes, mockups, and prototypes in minutes."
1759.0,"Unicorn Platform is a website builder for busy founders, startups and makers."
8656.0,Unscreen is an online platform that allows removing video backgrounds and greenscreens.
8324.0,"Built on top of DALL-E 2, it offers graphics and illustrations on demand (currently free)."
4526.0,Upword is an AI-based reading platform for college students and learners.
5587.0,User.com is a marketing automation platform that focuses on boosting engagement and conversion rates on a website.
1927.0,UserWay is a pioneer in innovative website accessibility technologies.
7927.0,"Superflow is the swiftest annotation tool and collaboration suite, directly on your website."
630.0,"VectorShift Builds, designs, prototypes, and deploys custom generative AI workflows."
6008.0,Venngage is a company that offers a web design website for creating graphics.
8383.0,vidBoard is an AI presenter-led video creation platform that platform creates stunning AI-powered video presentations at SCALE in real-time.
7014.0,"Vienna is a smart-canvas platform for creators, students, and teams to build and discover ideas."
5674.0,"Visla is a video editing company that helps clients create polished videos at scale, instantly, and effortlessly."
6604.0,A smart video conferencing tool that makes meetings better
4981.0,Wavel.ai is a provider of voice AI solutions for scaling and localizing video content.
6274.0,WeLoveNoCode is a program development firm that provides applications to firms with no-code developers.
4628.0,Whimsical is a software company that develops tools for workplace collaboration.
8271.0,"Social curation platform and discovery tool for podcasts, videos, articles."
7818.0,"Wonsulting is a consulting firm that provides training, resume revision, job search strategy, and career advisory services."
8272.0,"Wope is AI-based content marketing platform with automated strategy, content creation, performance tracking, and improvements."
6864.0,"Writesonic is a leading generative AI platform with over 5 million users, revolutionizing content creation and communication."
4161.0,"Wudpecker records your sales call, generate high-quality notes, and syncs them to your CRM. Automatically."
8087.0,"Yarnit is an early-stage start-up with an AI based SaaS product, in the space of digital storytelling"
4253.0,"SaaS, AI, the next gen visual search for eCommerce"
4195.0,"AI-powered social media listening and image recognition platform, trusted by 600+ major brands and agencies worldwide."
4372.0,"Zeda.io is an end to end Product Management platform that helps Product Teams build Right product, Faster, and Better."
5564.0,The AI copilot taking the busy work out of product teams.
4116.0,Marketplace of AI solutions
3830.0,ZMO.ai provides high-quality A.I. generated model images.
5159.0,"Zoom is a software company that offers a communications platform that connects people through video, voice, chat, and content sharing."
