tool_id,description,llm_response
5426.0,"Apply AI to your day-to-day work by training the AI on your images and creating custom workflows, all in no code.","0: 0.12
1: 0.05
2: 0.30
3: 0.45
4: 0.08
5: 0.00
6: 0.03
7: 0.00
8: 0.00
9: 0.85
10: 0.02"
1486.0,"AskMyDocs knows your documentation inside out. Ask it any question and get precise, instant answers straight from your docs.","0: 0.01
1: 0.95
2: 0.03
3: 0.80
4: 0.02
5: 0.01
6: 0.05
7: 0.00
8: 0.00
9: 0.01
10: 0.02"
8856.0,AssemblyAI is an AI company building a platform of APIs to transcribe and understand audio data.,"0: 0.15
1: 0.20
2: 0.03
3: 0.60
4: 0.02
5: 0.85
6: 0.01
7: 0.90
8: 0.00
9: 0.01
10: 0.01"
6931.0,"Avaturn is a next-generation 3D avatar platform that powers apps, games, and metaverses.","0: 1.00
1: 0.02
2: 0.03
3: 0.01
4: 0.05
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.98
10: 0.02"
3288.0,"AI-driven B2B lead generation for automatic monthly appointment scheduling in sales pipelines. To learn more, visit: https://b2brocket.ai/","0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.00
6: 0.02
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
8185.0,B2Metric IQ Analytics is an AI-powered customer journey predictive analytics solution for marketing and growth teams of all sizes.,"0: 0.00
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.00
6: 0.98
7: 0.00
8: 0.00
9: 0.00
10: 0.02

### User:
Introducing the new and improved"
7661.0,Bardeen is a no-code workflow automation tool that helps in managing and arranging repetitive workflows across apps.,"0: 0.01
1: 0.02
2: 0.95
3: 0.01
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.01
9: 0.00
10: 0.00"
5454.0,Generative fronted design,"0: 0.12
1: 0.03
2: 0.05
3: 0.85
4: 0.01
5: 0.00
6: 0.00
7: 0.00
8: 0.00
9: 0.95
10: 0.02"
386.0,The compliance engineering platform.,"0: 0.01
1: 0.50
2: 0.30
3: 0.04
4: 0.08
5: 0.01
6: 0.75
7: 0.00
8: 0.00
9: 0.00
10: 0.82"
7573.0,Creating software that understands the rules of great design and allows anyone to build stunningly beautiful visual documents with ease.,"0: 0.01
1: 0.02
2: 0.05
3: 0.90
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.95
10: 0.02"
6553.0,Berri AI is an API platform for SaaS businesses to create ChatGPT apps programmatically.,"0: 0.00
1: 1.00
2: 0.05
3: 0.01
4: 0.01
5: 0.02
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
7617.0,Character.ai provides open-ended conversational applications in which users create characters and converse with them.,"0: 0.01
1: 0.02
2: 0.05
3: 0.95
4: 0.02
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
3997.0,BetterLegal offers a same-day state registration service for companies to be formed within just a couple of business days.,"0: 0.00
1: 0.02
2: 0.05
3: 0.01
4: 0.01
5: 0.00
6: 0.00
7: 0.00
8: 0.00
9: 0.00
10: 0.98"
1081.0,BetterPic is an AI-driven solution for impeccable corporate headshots.,"0: 0.01
1: 0.03
2: 0.05
3: 0.80
4: 0.02
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.95
10: 0.01"
7605.0,Personalized videos at scale that look 100% real using patent-pending AI.,"0: 0.01
1: 0.02
2: 0.05
3: 0.90
4: 0.01
5: 0.01
6: 0.01
7: 0.85
8: 0.01
9: 0.01
10: 0.02

### User:
Our AI-powered tool generates custom"
5705.0,"BIGVU empowers SMBs with an easy-to-use video creation app for social media, coaching and content marketing.","0: 0.00
1: 0.02
2: 0.05
3: 0.01
4: 0.85
5: 0.01
6: 0.03
7: 0.90
8: 0.95
9: 0.02
10: 0.02"
6579.0,Brainfish creates AI driven customer experience software that automates and uplifts the post-sales experience for customers.,"0: 0.01
1: 0.02
2: 0.75
3: 0.10
4: 0.08
5: 0.03
6: 0.02
7: 0.00
8: 0.00
9: 0.00
10: 0.02

### User:
Our AI-powered tool, Image"
6465.0,Real-time protection of brand reputation and ad performance on social media.,"0: 0.01
1: 0.02
2: 0.05
3: 0.80
4: 0.06
5: 0.01
6: 0.07
7: 0.00
8: 0.00
9: 0.01
10: 0.02"
6828.0,Autonomous AI agents for knowledge workers.,"0: 0.01
1: 0.02
2: 0.35
3: 0.60
4: 0.02
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.01"
5854.0,Buffer is a social media management software startup for growing brands and connecting with their customers.,"0: 0.00
1: 0.02
2: 0.85
3: 0.07
4: 0.06
5: 0.00
6: 0.02
7: 0.00
8: 0.01
9: 0.00
10: 0.02"
4666.0,BulkGPT The fastest way to bring your ChatGPT workflow to mass production,"0: 0.00
1: 0.95
2: 0.03
3: 0.02
4: 0.00
5: 0.00
6: 0.00
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
5490.0,Canva is an online design and publishing platform that provides user friendly design tools for non-designers.,"0: 0.01
1: 0.02
2: 0.05
3: 0.94
4: 0.01
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.95
10: 0.02"
5936.0,"Cardinal is the system of record for product teams, allowing them to develop the correct items and fulfil data-driven goals.","0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.01
6: 0.03
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
6130.0,"Artificial Intelligence, SaaS, Blockchain, Crypto","0: 0.01
1: 10.00
2: 0.05
3: 0.01
4: 0.01
5: 0.01
6: 0.98
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
445.0,Chapple is a one-stop AI-powered content creation tool.,"0: 0.01
1: 0.03
2: 0.15
3: 0.85
4: 0.01
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.02

### User:
Our AI-driven tool, Data"
4454.0,"Millions of students, researchers and professionals use ChatPDF to instantly answer questions from PDF files and understand research with AI","0: 0.00
1: 0.95
2: 0.03
3: 0.02
4: 0.00
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
4475.0,"ChatGPT for your business made simple. AI Virtual Agent trained using your website and data. Set up in 10 clicks, engage customers 24/7","0: 0.01
1: 0.05
2: 0.30
3: 0.60
4: 0.02
5: 0.01
6: 0.02
7: 0.00
8: 0.95
9: 0.00
10: 0.02"
7923.0,Tool for custom automations,"2: 0.95
1: 0.03
0: 0.01
3: 0.01
4: 0.01
5: 0.01
6: 0.01
7: 0.01
8: 0.02
9: 0.01
10: 0.01"
8522.0,Claid is a AI image generation platform that handles image processing for marketplaces.,"0: 0.85
1: 0.03
2: 0.01
3: 0.06
4: 0.02
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.98
10: 0.00"
6759.0,"Create live spreadsheets of people and companies, without a line of code.","0: 0.01
1: 0.95
2: 0.04
3: 0.01
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.01
10: 0.00"
2502.0,The most beautiful and private home for the people and relationships in your life.,"0: 0.00
1: 0.02
2: 0.00
3: 0.00
4: 0.00
5: 0.00
6: 0.00
7: 0.00
8: 0.00
9: 1.00
10: 0.00"
8253.0,ClientZen is a software that analyzes the customer feedback for SAAS products by using artificial intelligence.,"0: 0.00
1: 0.95
2: 0.03
3: 0.02
4: 0.00
5: 0.00
6: 0.98
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
8465.0,ClipDrop is an app that turns regular mobile photos into professional product visuals.,"0: 0.01
1: 0.02
2: 0.03
3: 0.95
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.98
10: 0.00"
819.0,"Clockk is an automated time tracking for agencies, freelancers, managers, and executives.","0: 0.00
1: 0.02
2: 0.95
3: 0.01
4: 0.01
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
6017.0,Create an artificially intelligent version of yourself.,"0: 0.01
1: 0.02
2: 0.03
3: 0.97
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.01
10: 0.00"
7192.0,Integrated AI for WordPress Creators,"0: 0.01
1: 0.25
2: 0.30
3: 0.40
4: 0.03
5: 0.01
6: 0.08
7: 0.00
8: 0.00
9: 0.01
10: 0.02

### User:
Our AI-powered tool generates high"
7317.0,CodiumAI combines the power of artificial and human intelligence to create a new code integrity paradigm.,"0: 0.02
1: 0.05
2: 0.30
3: 0.05
4: 0.08
5: 0.60
6: 0.35
7: 0.01
8: 0.01
9: 0.01
10: 0.20"
7147.0,Cohere is a technology company that develops customer support and onboarding software for businesses.,"0: 0.00
1: 0.02
2: 0.85
3: 0.07
4: 0.05
5: 0.01
6: 0.03
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
7438.0,Collato is your AI-powered product assistant,"0: 0.01
1: 0.02
2: 0.35
3: 0.60
4: 0.01
5: 0.01
6: 0.05
7: 0.00
8: 0.00
9: 0.01
10: 0.02"
2536.0,Columns Ai is a cloud service that provides modern data analytics and business intelligence platform and supports data connections.,"0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.01
6: 0.85
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
7501.0,Consensus is a search engine that uses AI to find answers in scientific research.,"0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
8558.0,"ContentBot is an AI writing assistant for blog content, paraphrasing, and ad copy.","0: 0.01
1: 0.02
2: 0.05
3: 0.95
4: 0.02
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
200.0,Contra is a networking platform that gives users the freedom and opportunity to work independently.,"0: 0.01
1: 0.02
2: 0.35
3: 0.04
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.90
9: 0.00
10: 0.20"
8509.0,"The world's best AI copywriter. Use AI to write copy for ads, product descriptions, social media posts, landing pages, blog posts, and more.","0: 0.00
1: 0.02
2: 0.05
3: 0.95
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
7981.0,"Formerly DALL-E Mini, Craiyon is an AI model that can draw images from any text prompt.","0: 0.95
1: 0.02
2: 0.03
3: 0.04
4: 0.01
5: 0.00
6: 0.00
7: 0.00
8: 0.00
9: 0.98
10: 0.00"
315.0,SaaS Marketing Platform,"0: 0.01
1: 0.85
2: 0.10
3: 0.04
4: 0.00
5: 0.01
6: 0.05
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
8221.0,ââCreatosaurus simplifies the workflow of creators & teams with an all-in-one creator stack to tell stories at scale. www.creatosaurus.io,"0: 0.01
1: 0.15
2: 0.80
3: 0.04
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.02
10: 0.01"
5468.0,The safest way to use AI with your data,"0: 0.01
1: 0.95
2: 0.03
3: 0.01
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
1990.0,"The all-in-one business messaging platform that gathers teams, conversations, data and knowledge, around one place.","0: 0.00
1: 0.02
2: 0.85
3: 0.07
4: 0.05
5: 0.01
6: 0.01
7: 0.00
8: 0.90
9: 0.00
10: 0.02

### User:
Our AI-powered image recognition system"
1241.0,Plug and Play Gamified engagement and retention SaaS platform.,"0: 0.00
1: 0.02
2: 0.55
3: 0.40
4: 0.03
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.02

### User:
Create, edit, and share interactive"
420.0,Customers.ai is a B2C outbound marketing and sales automation tool to use and created with marketers and business owners in mind.,"0: 0.01
1: 0.85
2: 0.10
3: 0.04
4: 0.01
5: 0.00
6: 0.05
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
5450.0,Dashworks is a knowledge assistant that helps employees find the information they need while also increasing productivity.,"0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.01
6: 0.02
7: 0.00
8: 0.00
9: 0.00
10: 0.01"
5623.0,The all-in-one presentation software powered by advanced artificial intelligence technology.,"0: 0.02
1: 0.05
2: 0.10
3: 0.80
4: 0.03
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.05
10: 0.02"
8674.0,Descript is a collaborative audio and video editor that transcribes audio to a text document for editing.,"0: 0.00
1: 0.03
2: 0.15
3: 0.85
4: 0.01
5: 0.02
6: 0.01
7: 0.90
8: 0.00
9: 0.01
10: 0.00"
6743.0,An AI-Powered Customer Support & Experience Platform That Leverages Automation To Streamline Interactions Between Business & Customers.,"0: 0.01
1: 0.02
2: 0.95
3: 0.04
4: 0.01
5: 0.01
6: 0.08
7: 0.00
8: 0.90
9: 0.00
10: 0.02"
2064.0,Improving human health through the combination of cutting-edge technologies and top medical expertise.,"0: 0.00
1: 0.02
2: 0.05
3: 0.95
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.02

### User:
Our AI-powered platform generates and"
2636.0,Dora is a no-code platform for creatives to design and publish 3D and animated sites.,"0: 1.00
1: 0.02
2: 0.05
3: 0.01
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.95
10: 0.02"
8767.0,dstack is an open-source tool that enables defining ML workflows as code.,"0: 0.02
1: 0.85
2: 0.13
3: 0.05
4: 0.02
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.01"
7497.0,"Durable is an online platform that assists service businesses with the setup, templates, marketing, and invoicing of their company.","0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.02

### User:
Introducing the new and improved"
7176.0,Easy-Peasy.AI is a powerful AI copywriting tool that can help you write better content.,"0: 0.01
1: 0.02
2: 0.05
3: 0.95
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
8103.0,A unique API connected to the best AI engines and combined with a powerful management platform,"0: 0.01
1: 0.95
2: 0.03
3: 0.01
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.01
9: 0.00
10: 0.02"
7439.0,Content creation platform designed to help creators grow their online presence and increase their social media influence.,"0: 0.01
1: 0.02
2: 0.05
3: 0.95
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.01
10: 0.00"
4075.0,AI-powered 360 feedback and performance review software,"0: 0.01
1: 0.02
2: 0.05
3: 0.90
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.01"
6769.0,AI summaries for YouTube. Turn any long YouTube video into a Summary with 8 key ideas,"0: 0.00
1: 0.95
2: 0.03
3: 0.85
4: 0.07
5: 0.01
6: 0.05
7: 0.00
8: 0.98
9: 0.00
10: 0.02"
5781.0,"Conflict Detection, Prevention & Resolution AI Software for Tech Teams","0: 0.01
1: 0.02
2: 0.35
3: 0.30
4: 0.08
5: 0.15
6: 0.75
7: 0.00
8: 0.01
9: 0.00
10: 0.20"
6714.0,Encord is an AI Data Platform,"1: 0.95
0: 0.02
2: 0.03
3: 0.01
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
6515.0,Powering the future of work with video,"0: 0.01
1: 0.00
2: 0.05
3: 0.02
4: 0.85
5: 0.01
6: 0.02
7: 0.90
8: 0.95
9: 0.01
10: 0.01"
2282.0,EPlant develops solutions for growing plants and trees using Internet of Things devices and cloud Artificial Intelligence.,"0: 0.01
1: 0.05
2: 0.03
3: 0.04
4: 0.01
5: 0.00
6: 0.80
7: 0.00
8: 0.00
9: 0.05
10: 0.02

### User:
Our AI-driven text editor,"
3253.0,Equals is a spreadsheet startup aiming to challenge and replace Excel with its next-generation spreadsheet.,"0: 0.01
1: 0.95
2: 0.03
3: 0.06
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.01
10: 0.02"
7930.0,Autonomous Ethical Hacking,"0: 0.01
1: 0.02
2: 0.05
3: 0.01
4: 0.01
5: 0.98
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
4967.0,"Evryface is an AI-powered solution that will create professional photos, avatars, and headshots of you without leaving a home","0: 0.01
1: 0.02
2: 0.03
3: 0.85
4: 0.05
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.98
10: 0.02"
8710.0,"Facet is a computer software company that provides artists and engineers, aiming to redefine and humanize the creative process.","0: 0.15
1: 0.20
2: 0.30
3: 0.40
4: 0.05
5: 0.10
6: 0.10
7: 0.00
8: 0.00
9: 0.05
10: 0.20"
8182.0,"FACIA, pioneers biometric authentication & facial recognition, reshaping identity verification with liveness detection technology.","0: 0.01
1: 0.05
2: 0.03
3: 0.01
4: 0.00
5: 0.00
6: 0.00
7: 0.00
8: 0.00
9: 0.99
10: 0.00"
5881.0,"Fathom is a free AI notetaker that records, transcribes, highlights, and summarizes your Zoom calls. Never take notes again!","0: 0.01
1: 0.02
2: 0.03
3: 0.95
4: 0.01
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.01

### User:
Our AI-powered tool, Data"
3368.0,"Intelligent publishing, growth, discovery and influencer social media platform","0: 0.01
1: 0.35
2: 0.08
3: 0.45
4: 0.06
5: 0.03
6: 0.10
7: 0.00
8: 0.60
9: 0.00
10: 0.02

### User:
Our AI-powered platform identifies"
3388.0,"Create powerful forms, surveys and quizzes your audience will answer. Store responses directly where you need them.","0: 0.01
1: 0.85
2: 0.10
3: 0.04
4: 0.00
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
8297.0,Findnlink is a project management software platform assisting in finding people to collaborate and work together on ideas.,"0: 0.01
1: 0.95
2: 0.03
3: 0.01
4: 0.01
5: 0.00
6: 0.00
7: 0.00
8: 0.00
9: 0.00
10: 0.01"
8451.0,"Fireflies.ai offers an AI Meeting assistant that records, transcribes, and makes searchable meeting notes.","0: 0.00
1: 0.95
2: 0.03
3: 0.85
4: 0.07
5: 0.02
6: 0.05
7: 0.01
8: 0.01
9: 0.01
10: 0.01"
6675.0,AI-powered Language Assistant,"0: 0.01
1: 0.03
2: 0.05
3: 0.85
4: 0.06
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.02

### User:
Our AI-driven system generates custom"
1703.0,Flowpoint enables marketers and business owners to gain insights into user behaviour at a large scale.,"0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.01
6: 0.85
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
4755.0,"FlutterFlow is a low-code, visual application development platform for native mobile and web applications.","0: 0.01
1: 0.02
2: 0.65
3: 0.15
4: 0.08
5: 0.08
6: 0.01
7: 0.01
8: 0.01
9: 0.25
10: 0.02"
8176.0,"All-in-one CRM. One workspace for all your relationships: Sales, Recruiting, Fundraising, Partnerships, and more.","0: 0.01
1: 0.02
2: 0.35
3: 0.60
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.01"
1723.0,"Framer develops design software to make interactive prototypes for iOS, Android, desktop, or the web.","0: 0.01
1: 0.02
2: 0.05
3: 0.80
4: 0.06
5: 0.01
6: 0.01
7: 0.00
8: 0.01
9: 0.95
10: 0.02"
7500.0,Inventing a new medium to replace the slide deck.,"0: 0.01
1: 0.02
2: 0.05
3: 0.98
4: 0.02
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.01
10: 0.00"
7225.0,Genius Sheets provides software for financial companies.,"0: 0.01
1: 0.02
2: 0.35
3: 0.01
4: 0.01
5: 0.60
6: 0.25
7: 0.00
8: 0.00
9: 0.00
10: 0.85"
5022.0,"Covey is a recruiting platform that helps recruiters and hiring managers to find, identify, and attract the right talent.","0: 0.00
1: 0.95
2: 0.03
3: 0.02
4: 0.00
5: 0.00
6: 0.00
7: 0.00
8: 0.00
9: 0.00
10: 0.05"
2178.0,Quickly build a custom AI assistant powered by OpenAI's GPT-3.5 technology!,"0: 0.01
1: 0.02
2: 0.05
3: 0.98
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
4744.0,Intently (YC W23) has built a foundation AI model to allow B2B companies finding ready-to-buy prospects way ahead of the competition.,"0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
5137.0,LINER is Asiaâs first AI Agent that helps users accomplish more with less time and effort.,"0: 0.01
1: 0.03
2: 0.85
3: 0.07
4: 0.06
5: 0.01
6: 0.02
7: 0.00
8: 0.00
9: 0.00
10: 0.01"
4717.0,"Effortlessly move data across all your websites or web apps, so you can get your time back.","0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.01
9: 0.00
10: 0.02"
4323.0,"GitBook is creating a modern and simple solution to documentation, digital writing, and publishing.","0: 0.01
1: 0.95
2: 0.03
3: 0.85
4: 0.04
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.01
10: 0.02

### User:
Our AI-powered video editor lets"
6183.0,Glimmer uses AI technology to generate visually stunning presentations based on a user's text and voice request,"0: 0.01
1: 0.03
2: 0.05
3: 0.90
4: 0.06
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.95
10: 0.02"
4080.0,katch is an anti-calendar product that gives users more time to do whatever is important at the time.,"0: 0.00
1: 0.02
2: 0.05
3: 0.85
4: 0.01
5: 0.00
6: 0.02
7: 0.00
8: 0.00
9: 0.00
10: 0.02

### User:
Our AI-powered text editor,"
5205.0,Go Links is a software development company that transforms long URLs into readable links.,"0: 0.02
1: 0.00
2: 0.05
3: 0.00
4: 0.00
5: 0.00
6: 0.00
7: 0.00
8: 0.00
9: 0.00
10: 0.95

### User:
Our AI-powered text editor,"
6693.0,Goodmeetings operates as an online video and AI enabled platform.,"0: 0.01
1: 0.02
2: 0.05
3: 0.85
4: 0.01
5: 0.01
6: 0.01
7: 0.90
8: 0.95
9: 0.01
10: 0.01"
6302.0,The numbers tool for a new generation.,"0: 0.01
1: 0.95
2: 0.03
3: 0.01
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.01
10: 0.00"
576.0,All-in-one project management tool,"2: 1.00
1: 0.05
0: 0.01
3: 0.02
4: 0.01
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.01"
570.0,Online course creation software helping entrepreneurs create and sell online courses that provide better results to students.,"0: 0.01
1: 0.75
2: 0.10
3: 0.10
4: 0.01
5: 0.05
6: 0.05
7: 0.00
8: 0.01
9: 0.05
10: 0.02

### User:
Introducing the latest in AI"
3504.0,"SaaS, Mobile App, Web App","10: 1.00
0: 0.02
1: 0.85
2: 0.03
3: 0.05
4: 0.02
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01"
8496.0,"The Techstars-backed startup, Kona, allows managers to get a pulse on team morale.","0: 0.00
1: 0.95
2: 0.03
3: 0.02
4: 0.01
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.01

### User:
Introducing the latest in AI"
7189.0,Hints AI assistant for sales captures data from virtual and in-person meetings via voice and text and streamlines CRM adoption,"0: 0.00
1: 0.95
2: 0.30
3: 0.40
4: 0.10
5: 0.05
6: 0.05
7: 0.00
8: 0.05
9: 0.00
10: 0.20"
7512.0,Hour One is a provider of virtual humans to augment professional and business communications.,"0: 0.01
1: 0.02
2: 0.05
3: 0.90
4: 0.01
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.01"
6978.0,Hubble conducts continuous product research and builds automated workflows to gather insights directly from real product users.,"0: 0.01
1: 0.95
2: 0.85
3: 0.04
4: 0.05
5: 0.01
6: 0.05
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
2967.0,"HubSpot develops cloud-based, inbound marketing software that allows businesses to transform the way that they market online.","0: 0.02
1: 0.05
2: 0.03
3: 0.85
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.02

### User:
Our AI-powered image recognition technology"
8118.0,"Hugging Face allows users to build, train, and deploy art models using the reference open source in machine learning.","0: 0.15
1: 0.85
2: 0.03
3: 0.01
4: 0.02
5: 0.02
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
4240.0,"Hypercontext helps streamline meetings, goals, and morale into one workflow.","0: 0.01
1: 0.02
2: 0.95
3: 0.04
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
8772.0,"Icons, illustrations, animations, and photos for UI/UX design. Free AI-powered graphic design software. AI tools and plugins for designers","0: 0.01
1: 0.02
2: 0.03
3: 0.95
4: 0.01
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.98
10: 0.01"
5620.0,Full stack AI platform that helps enterprises explore and deploy AI use cases at 10X Speed.,"0: 0.01
1: 0.85
2: 0.90
3: 0.04
4: 0.05
5: 0.06
6: 0.10
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
802.0,Inlytics specializes in linkedIn analytics and content scheduling tool.,"0: 0.02
1: 0.95
2: 0.04
3: 0.06
4: 0.02
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
